time,cllj_index
1979-01-01,-10.56705379486084
1980-01-01,-12.63353443145752
1981-01-01,-10.764180183410645
1982-01-01,-12.57861042022705
1983-01-01,-12.191937446594238
1984-01-01,-12.147345542907715
1985-01-01,-12.807574272155762
1986-01-01,-12.196479797363281
1987-01-01,-11.717650413513184
1988-01-01,-10.539082527160645
1989-01-01,-12.958413124084473
1990-01-01,-13.128596305847168
1991-01-01,-13.229336738586426
1992-01-01,-12.42577075958252
1993-01-01,-11.75888729095459
1994-01-01,-13.491549491882324
1995-01-01,-11.2390775680542
1996-01-01,-12.228865623474121
1997-01-01,-12.987526893615723
1998-01-01,-11.677821159362793
1999-01-01,-11.080094337463379
2000-01-01,-12.358070373535156
2001-01-01,-11.783470153808594
2002-01-01,-12.827115058898926
2003-01-01,-13.177430152893066
2004-01-01,-12.950035095214844
2005-01-01,-9.534863471984863
2006-01-01,-11.560635566711426
2007-01-01,-11.422022819519043
2008-01-01,-11.80833911895752
2009-01-01,-12.278788566589355
2010-01-01,-9.65186595916748
2011-01-01,-9.888068199157715
2012-01-01,-12.4129638671875
2013-01-01,-12.373539924621582
2014-01-01,-13.665471076965332
2015-01-01,-14.764838218688965
2016-01-01,-12.771580696105957
2017-01-01,-12.71856689453125
2018-01-01,-13.758397102355957
2019-01-01,-13.343453407287598
2020-01-01,-12.149065971374512
2021-01-01,-12.71828842163086
2022-01-01,-12.601584434509277
2023-01-01,-11.720629692077637
2024-01-01,-11.359700202941895
