date,tna_sst
1923-04,26.134161
1923-05,27.080133
1923-06,27.396444
1923-07,27.577364
1923-08,27.653395
1923-09,28.102324
1923-10,27.824175
1923-11,27.48376
1923-12,26.613697
1924-01,26.06693
1924-02,25.76898
1924-03,26.003494
1924-04,26.670002
1924-05,27.387884
1924-06,27.626272
1924-07,27.66291
1924-08,27.871248
1924-09,28.152853
1924-10,27.892368
1924-11,27.361319
1924-12,26.638454
1925-01,25.856009
1925-02,25.533426
1925-03,25.745783
1925-04,26.419395
1925-05,27.104729
1925-06,27.348162
1925-07,27.656176
1925-08,28.088032
1925-09,28.168755
1925-10,28.160776
1925-11,27.621933
1925-12,27.04236
1926-01,26.40502
1926-02,26.27736
1926-03,26.158367
1926-04,26.79415
1926-05,27.50457
1926-06,27.832798
1926-07,27.985226
1926-08,28.326387
1926-09,28.483936
1926-10,28.2968
1926-11,27.840946
1926-12,27.046734
1927-01,26.166027
1927-02,25.959679
1927-03,26.07834
1927-04,26.571087
1927-05,27.334791
1927-06,27.541885
1927-07,27.748907
1927-08,28.146736
1927-09,28.560406
1927-10,28.419271
1927-11,27.819918
1927-12,26.920258
1928-01,26.133352
1928-02,26.105837
1928-03,26.206244
1928-04,26.544819
1928-05,27.112331
1928-06,27.606289
1928-07,27.727808
1928-08,28.094807
1928-09,28.302765
1928-10,28.247328
1928-11,27.751383
1928-12,26.74846
1929-01,26.022408
1929-02,25.734539
1929-03,25.947598
1929-04,26.378069
1929-05,26.827345
1929-06,27.311916
1929-07,27.477884
1929-08,27.813108
1929-09,28.086218
1929-10,28.023712
1929-11,27.398394
1929-12,26.645777
1930-01,26.023993
1930-02,25.860048
1930-03,26.083
1930-04,26.576334
1930-05,27.28635
1930-06,27.547775
1930-07,27.777643
1930-08,28.105728
1930-09,28.442907
1930-10,28.242846
1930-11,27.913378
1930-12,27.3326
1931-01,26.703236
1931-02,26.276577
1931-03,26.470095
1931-04,26.946363
1931-05,27.866875
1931-06,28.227358
1931-07,28.224653
1931-08,28.48997
1931-09,28.418118
1931-10,28.309364
1931-11,27.54678
1931-12,27.013735
1932-01,26.40962
